carpeta,actual,nuevo,fecha_descarga
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2350.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2350.pdf,2026-04-12 14:31:37
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2351.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2351.pdf,2026-04-12 14:31:44
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2352.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2352.pdf,2026-04-12 14:31:51
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2353.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2353.pdf,2026-04-12 14:31:56
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2354.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2354.pdf,2026-04-12 14:32:14
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2355.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2355.pdf,2026-04-12 14:32:19
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2356.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2356.pdf,2026-04-12 14:32:27
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2357.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2357.pdf,2026-04-12 14:32:32
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2358.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2358.pdf,2026-04-12 14:32:38
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2359.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2359.pdf,2026-04-12 14:32:43
